dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
D6,9,9,1050,H2573,6.55,180.0
D6,9,1,970,H2873,6.25,197.14285714285714
D1,10,1,1090,H2651,5.2,257.1428571428571
D1,10,5,1130,H2849,5.8,222.85714285714286
D1,10,7,1150,H2849,5.8,222.85714285714286
D1,10,8,1160,H2849,5.8,222.85714285714286
D1,10,9,1170,H2849,5.8,222.85714285714286
D1,10,3,1110,H2855,4.9,274.2857142857142
D2,10,1,1090,H2237,3.85,334.2857142857143
D2,10,3,1110,H2351,4.75,282.85714285714283
D2,10,9,1170,H2459,3.4,360.0
D2,10,5,1130,H2555,4.9,274.2857142857142
D2,10,7,1150,H2561,4.45,300.0
D3,10,1,1090,H2141,3.85,334.2857142857143
D3,10,3,1110,H2243,3.85,334.2857142857143
D3,10,5,1130,H2357,5.8,222.85714285714286
D3,10,6,1140,H2357,5.8,222.85714285714286
D3,10,7,1150,H2357,5.8,222.85714285714286
D3,10,8,1160,H2357,5.8,222.85714285714286
D4,10,7,1150,H2339,5.05,265.7142857142857
D4,10,8,1160,H2339,5.05,265.7142857142857
D4,10,9,1170,H2339,5.05,265.7142857142857
D4,10,1,1090,H2645,3.85,334.2857142857143
D4,10,3,1110,H2753,4.9,274.2857142857142
D5,10,8,1160,H2453,4.45,300.0
D5,10,6,1140,H2657,4.75,282.85714285714283
D5,10,3,1110,H2663,4.9,274.2857142857142
D5,10,4,1120,H2663,4.9,274.2857142857142
D5,10,1,1090,H2669,5.8,222.85714285714286
D6,10,1,1090,H2135,3.85,334.2857142857143
D6,10,3,1110,H2345,3.85,334.2857142857143
D6,10,7,1150,H2651,5.2,257.1428571428571
D6,10,8,1160,H2651,5.2,257.1428571428571
D6,10,9,1170,H2651,5.2,257.1428571428571
D1,11,8,1280,H2441,4.3,308.57142857142856
D1,11,5,1250,H2447,5.8,222.85714285714286
D1,11,6,1260,H2447,5.8,222.85714285714286
D1,11,1,1210,H2543,4.3,308.57142857142856
D1,11,3,1230,H2549,4.3,308.57142857142856
D2,11,6,1260,H2567,5.35,248.57142857142858
D2,11,7,1270,H2567,5.35,248.57142857142858
D2,11,9,1290,H2771,4.3,308.57142857142856
D2,11,3,1230,H2867,5.35,248.57142857142858
D2,11,1,1210,H2873,6.25,197.14285714285714
D3,11,1,1210,H2153,5.65,231.4285714285714
D3,11,3,1230,H2159,5.65,231.4285714285714
D3,11,5,1250,H2255,4.75,282.85714285714283
D3,11,7,1270,H2363,5.35,248.57142857142858
D3,11,9,1290,H2363,5.35,248.57142857142858
D4,11,1,1210,H2147,4.3,308.57142857142856
D4,11,5,1250,H2165,4.3,308.57142857142856
D4,11,6,1260,H2165,4.3,308.57142857142856
D4,11,7,1270,H2165,4.3,308.57142857142856
D4,11,8,1280,H2165,4.3,308.57142857142856
D4,11,9,1290,H2165,4.3,308.57142857142856
D4,11,3,1230,H2261,5.35,248.57142857142858
D5,11,2,1220,H2747,4.6,291.42857142857144
D5,11,4,1240,H2759,5.35,248.57142857142858
D5,11,8,1280,H2765,5.35,248.57142857142858
D5,11,9,1290,H2765,5.35,248.57142857142858
D5,11,6,1260,H2861,4.15,317.1428571428571
D6,11,6,1260,H2369,5.35,248.57142857142858
D6,11,8,1280,H2465,5.8,222.85714285714286
D6,11,9,1290,H2465,5.8,222.85714285714286
D6,11,3,1230,H2573,6.55,180.0
D6,11,4,1240,H2573,6.55,180.0
D6,11,1,1210,H2777,4.3,308.57142857142856
D1,12,4,1360,H2753,4.9,274.2857142857142
D1,12,7,1390,H2849,5.8,222.85714285714286
D1,12,2,1340,H2855,4.9,274.2857142857142
D2,12,2,1340,H2849,5.8,222.85714285714286
D2,12,3,1350,H2849,5.8,222.85714285714286
D2,12,4,1360,H2849,5.8,222.85714285714286
D2,12,5,1370,H2849,5.8,222.85714285714286
D3,12,7,1390,H2351,4.75,282.85714285714283
D3,12,2,1340,H2357,5.8,222.85714285714286
D3,12,3,1350,H2357,5.8,222.85714285714286
D4,12,6,1380,H2573,6.55,180.0
D4,12,7,1390,H2573,6.55,180.0
D4,12,2,1340,H2663,4.9,274.2857142857142
D5,12,1,1330,H2669,5.8,222.85714285714286
D5,12,3,1350,H2873,6.25,197.14285714285714
D5,12,5,1370,H2873,6.25,197.14285714285714
D6,12,1,1330,H2249,4.3,308.57142857142856
D6,12,7,1390,H2555,4.9,274.2857142857142
