dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
D7,8,10,940,H2249,S3
D7,8,0,840,S3,H2153
D7,8,4,880,H2129,H2231
D7,8,6,900,H2231,H2129
D7,8,8,920,H2129,H2249
D7,8,3,870,H2153,H2129
D8,8,10,940,H2657,S3
D8,8,4,880,H2855,H2765
D8,8,2,860,H3059,H2855
D8,8,8,920,H2759,H2657
D8,8,6,900,H2765,H2759
D8,8,0,840,S3,H3059
D9,8,3,870,H3089,H2987
D9,8,10,940,H2987,S3
D9,8,0,840,S3,H3089
D1,9,10,1060,H2549,S1
D1,9,8,1040,H2753,H2549
D1,9,0,960,S1,H2651
D1,9,2,980,H2651,H2753
D2,9,10,1060,H2441,S1
D2,9,8,1040,H2225,H2441
D2,9,2,980,H2531,H2327
D2,9,4,1000,H2327,H2429
D2,9,6,1020,H2429,H2225
D2,9,0,960,S1,H2531
D3,9,6,1020,H2741,H2645
D3,9,0,960,S1,H2633
D3,9,3,990,H2633,H2837
D3,9,8,1040,H2645,H2849
D3,9,10,1060,H2849,S1
D3,9,5,1010,H2837,H2741
D4,9,0,960,S2,H2771
D4,9,3,990,H2771,S2
D5,9,0,960,S2,H2573
D5,9,3,990,H2573,H2477
D5,9,5,1010,H2477,H2375
D5,9,10,1060,H2375,S2
D6,9,0,960,S2,H2051
D6,9,10,1060,H2429,S2
D6,9,8,1040,H2333,H2429
D6,9,6,1020,H2237,H2333
D6,9,3,990,H2051,H2237
D7,9,10,1060,H2255,S3
D7,9,6,1020,H2171,H2165
D7,9,0,960,S3,H2063
D7,9,3,990,H2063,H1949
D7,9,5,1010,H1949,H2171
D7,9,8,1040,H2165,H2255
D8,9,3,990,H2873,H2669
D8,9,5,1010,H2669,H2675
D8,9,10,1060,H2675,S3
D8,9,0,960,S3,H2873
D9,9,3,990,H2681,H2885
D9,9,10,1060,H2789,S3
D9,9,0,960,S3,H2681
D9,9,5,1010,H2885,H2789
D1,10,0,1080,S1,H1955
D1,10,8,1160,S2,H2537
D1,10,11,1190,H2537,S1
D1,10,3,1110,H1955,S2
D2,10,10,1180,H2459,S1
D2,10,3,1110,H2555,H2459
D2,10,0,1080,S1,H2555
D3,10,0,1080,S1,H2465
D3,10,10,1180,H2261,S1
D3,10,3,1110,H2465,H2261
D4,10,11,1190,H2741,S2
D4,10,5,1130,H2747,H2741
D4,10,3,1110,H2735,H2747
D4,10,0,1080,S2,H2735
D5,10,7,1150,H3071,H2975
D5,10,0,1080,S2,H3053
D5,10,9,1170,H2975,H2969
D5,10,5,1130,H3065,H3071
D5,10,10,1180,H2969,S2
D5,10,3,1110,H3053,H3065
D6,10,10,1180,H2363,S2
D6,10,0,1080,S2,H2141
D6,10,7,1150,H2369,H2363
D6,10,2,1100,H2141,H2147
D6,10,5,1130,H2267,H2369
D6,10,4,1120,H2147,H2267
D7,10,3,1110,H2345,H2243
D7,10,0,1080,S3,H2345
D7,10,6,1140,H2243,H2135
D7,10,10,1180,H2135,S3
D8,10,8,1160,H2957,H2861
D8,10,3,1110,H3047,H2957
D8,10,0,1080,S3,H3047
D8,10,10,1180,H2861,S3
D9,10,10,1180,H2951,S3
D9,10,2,1100,H2945,H2939
D9,10,4,1120,H2939,H3041
D9,10,8,1160,H3041,H2951
D9,10,0,1080,S3,H2945
D1,11,2,1220,H1925,H2027
D1,11,7,1270,H1925,S1
D1,11,6,1260,H2027,H1925
D1,11,0,1200,S1,H1925
D2,11,7,1270,S1,H2633
D2,11,11,1310,H2633,S1
D2,11,0,1200,S1,H2783
D2,11,2,1220,H2783,H2777
D2,11,5,1250,H2981,S1
D2,11,4,1240,H2777,H2981
D3,11,7,1270,H2171,H2045
D3,11,3,1230,H2273,H2381
D3,11,5,1250,H2381,H2171
D3,11,9,1290,H2045,H1937
D3,11,10,1300,H1937,S1
D3,11,0,1200,S1,H2273
D4,11,2,1220,H2033,H1931
D4,11,0,1200,S2,H2033
D4,11,9,1290,H1931,S2
D5,11,3,1230,H2453,H2249
D5,11,10,1300,H2249,S2
D5,11,0,1200,S2,H2453
D6,11,0,1200,S2,H1937
D6,11,8,1280,H1937,S2
D7,11,0,1200,S3,H2447
D7,11,10,1300,H2447,S3
D8,11,0,1200,S3,H2471
D8,11,10,1300,H2471,S3
D9,11,3,1230,H2981,H2873
D9,11,10,1300,H2873,S3
D9,11,0,1200,S3,H2981
D1,12,4,1360,H2963,H2759
D1,12,8,1400,H2759,S1
D1,12,2,1340,H2969,H2963
D1,12,0,1320,S1,H2969
D2,12,0,1320,S1,H2765
D2,12,6,1380,H2549,S1
D2,12,2,1340,H2765,H2657
D2,12,4,1360,H2657,H2549
D3,12,0,1320,S1,H2639
D3,12,6,1380,H2747,S1
D3,12,2,1340,H2639,H2747
D4,12,6,1380,H2057,S2
D4,12,0,1320,S2,H2153
D4,12,2,1340,H2153,H2057
D5,12,2,1340,H2129,H2351
D5,12,0,1320,S2,H2129
D5,12,6,1380,H2351,S2
D6,12,0,1320,S2,H1961
D6,12,2,1340,H1961,H1967
D6,12,6,1380,H1967,S2
D7,12,0,1320,S3,H2879
D7,12,4,1360,H2993,H3089
D7,12,2,1340,H2879,H2993
D7,12,6,1380,H3089,S3
D8,12,6,1380,H2867,S3
D8,12,2,1340,H2567,H2663
D8,12,0,1320,S3,H2567
D8,12,4,1360,H2663,H2867
D9,12,4,1360,H2573,H2669
D9,12,0,1320,S3,H2579
D9,12,6,1380,H2669,S3
D9,12,2,1340,H2579,H2573
