zone,dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
S1,D3,4,4,400,H2621,5.5,250.43478260869563
S1,D3,4,6,420,H2741,8.2,180.0
S1,D3,4,10,460,H3053,5.8,242.6086956521739
S1,D3,5,1,490,H2519,5.5,250.43478260869563
S1,D3,5,2,500,H3371,5.8,242.6086956521739
S1,D3,5,4,520,H2729,5.5,250.43478260869563
S1,D3,5,6,540,H2411,5.95,238.69565217391303
S1,D3,5,7,550,H2711,6.25,230.86956521739128
S1,D3,5,10,580,H2915,5.35,254.3478260869565
S1,D3,6,3,630,H3161,5.8,242.6086956521739
S1,D3,6,5,650,H2957,5.8,242.6086956521739
S1,D3,6,7,670,H2813,6.25,230.86956521739128
S1,D3,6,8,680,H3353,5.05,262.17391304347825
S1,D3,6,9,690,H2951,6.25,230.86956521739128
S1,D3,7,1,730,H3059,4.6,273.9130434782609
S1,D3,7,3,750,H2441,4.3,281.7391304347826
S1,D3,7,5,770,H3251,5.05,262.17391304347825
S1,D3,7,6,780,H2723,8.2,180.0
S1,D3,7,8,800,H2933,6.55,223.04347826086956
S1,D3,7,9,810,H2411,5.95,238.69565217391303
S1,D3,7,10,820,H2819,8.2,180.0
S1,D3,8,1,850,H2333,5.05,262.17391304347825
S1,D3,8,3,870,H3353,5.05,262.17391304347825
S1,D3,8,5,890,H3353,5.05,262.17391304347825
S1,D3,8,7,910,H2309,6.1,234.78260869565216
S1,D3,8,8,920,H2915,5.35,254.3478260869565
S1,D3,8,10,940,H2537,7.75,191.7391304347826
S1,D3,9,1,970,H3047,6.25,230.86956521739128
S1,D3,9,3,990,H3053,5.8,242.6086956521739
S1,D3,9,4,1000,H2813,6.25,230.86956521739128
S1,D3,9,6,1020,H3335,8.2,180.0
S1,D3,9,8,1040,H2915,5.35,254.3478260869565
S1,D3,9,10,1060,H2933,6.55,223.04347826086956
S1,D3,10,2,1100,H2741,8.2,180.0
S1,D3,10,4,1120,H2927,5.5,250.43478260869563
S1,D3,10,6,1140,H2315,5.5,250.43478260869563
S1,D3,10,8,1160,H3245,4.6,273.9130434782609
