dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
D1,12,6,1380,H2753,H2849
D1,12,1,1330,S1,H2855
D2,12,6,1380,H2849,S1
D2,12,1,1330,S1,H2849
D3,12,1,1330,S2,H2357
D3,12,4,1360,H2357,S2
D3,12,8,1400,H2351,S2
D3,12,6,1380,S2,H2351
D4,12,5,1370,S3,H2573
D4,12,3,1350,H2663,S3
D4,12,1,1330,S2,H2663
D4,12,8,1400,H2573,S2
D5,12,2,1340,H2669,H2873
D5,12,0,1320,S3,H2669
D5,12,6,1380,H2873,S3
D6,12,0,1320,S3,H2249
D6,12,8,1400,H2555,S3
D6,12,2,1340,H2249,S2
D6,12,6,1380,S2,H2555
